date,day,stage,GDD,daily_GDD,LAI,dry_matter_total,dry_matter_leaf,dry_matter_stem,dry_matter_fruit,dry_matter_root,fruit_set_rate,soil_EC,soil_water_content,water_uptake,daily_K_uptake,accumulated_K,gray_mold_risk,whitefly_population,alerts
2025-10-11,41,seedling,342.62048269652246,10.302232643466896,1.5,13.130325814113789,5.252130325645517,3.9390977442341364,0.0,3.9390977442341364,0.0,3.5,1.0,0.7704593593068629,0.12272727272727271,5.137168824984221,5.176345899978438,4.2003730122268483e-13,[]
2025-10-12,42,flowering,353.0309421367229,10.410459440200418,1.6469942273241382,15.647346533758904,6.133087577521307,4.568352924145415,0.5034041439290231,4.442501888163159,0.65727503640938,3.5,1.0,0.908488067648212,0.16363636363636364,5.300805188620585,5.517688622624667,4.009608322978961e-13,[]
2025-10-13,43,flowering,363.02119547651836,9.990253339795476,1.6607825289883875,17.041680609047006,6.621104503872143,4.916936442967441,0.782270958986644,4.72136870322078,0.6942357466153362,3.5,1.0,0.9408243117788397,0.16363636363636364,5.464441552256949,7.448153266848574,3.82750742776982e-13,[]
2025-10-14,44,flowering,371.51496376710173,8.493768290583379,1.6733882120163504,20.694163462005807,7.899473502407723,5.830057156207141,1.5127675295784038,5.45186527381254,0.6948836509318929,3.5,1.0,0.902101478203173,0.16363636363636364,5.628077915893313,8.338446868054081,1.0961030551793882e-13,[]
2025-10-15,45,flowering,379.5139531909695,7.9989894238677985,1.6860365100662846,23.283536059316717,8.80575391146654,6.477400305534868,2.030642049040585,5.969739793274722,0.6945496202421895,3.5,1.0,0.7534269902186644,0.16363636363636364,5.791714279529677,23.263615696011417,3.138966887057448e-14,[]
2025-10-16,46,flowering,387.257139913568,7.74318672259844,1.6990267635555552,26.386703531272257,9.89186252665098,7.253192173523754,2.651275543431694,6.59037328766583,0.6778061564034861,3.5,1.0,0.8237235372069812,0.16363636363636364,5.9553506431660415,8.165508061996594,8.989221470996231e-15,[]
2025-10-17,47,flowering,394.84143025743424,7.584290343866282,1.7124872228994217,27.6391619896969,10.330222987099603,7.566306788129913,2.9017672351166213,6.840864979350758,0.6669291256570893,3.5,1.0,0.6559965648338786,0.16363636363636364,6.1189870068024055,8.08759340378252,2.5742897444314706e-15,[]
2025-10-18,48,flowering,403.46432565856435,8.622895401130092,1.7287053175124776,27.6391619896969,10.330222987099603,7.566306788129913,2.9017672351166213,6.840864979350758,0.7696504632250276,3.5,1.0,0.7513939963560812,0.16363636363636364,6.2826233704387695,6.821487082230586,7.372126395669515e-16,[]
2025-10-19,49,flowering,410.1514470567053,6.687121398140962,1.7419706094995908,27.6391619896969,10.330222987099603,7.566306788129913,2.9017672351166213,6.840864979350758,0.5,3.5,1.0,0.6970986575376039,0.16363636363636364,6.4462597340751335,8.016508225978098,2.111193882168456e-16,[]
2025-10-20,50,flowering,414.7580743054428,4.606627248737465,1.7514656428241488,29.032234411290005,10.817798334657192,7.914574893528192,3.1803817194352444,7.11947946366938,0.5,3.5,1.0,0.5933078110805539,0.16363636363636364,6.6098960977114976,8.673312800112125,6.045934875348447e-17,[]
2025-10-21,51,flowering,420.4314713351228,5.673397029680039,1.7635654810705355,30.660828616819163,11.387806306592395,8.32172344491048,3.506100560541075,7.445198304775211,0.5,3.5,1.0,0.67753229753952,0.16363636363636364,6.773532461347862,11.23228227906398,1.7314055722542107e-17,[]
